"","idplot","n_trees_ifn2","ws_ifn2","wb27_ifn2","wb2_ifn2","wr_ifn2","n_trees_ifn3","ws_ifn3","wb7_ifn3","wb27_ifn3","wb2_ifn3","wr_ifn3","ntrees_d","ws_d","wb27_d","wb2_d","wr_d"
"1","01_0116",3,302.151445875,46.493368575,40.2097,170.858545,3,740.954368125,NA,127.270712625,46.1496,266.807255,0,438.80292225,80.77734405,5.93990000000001,95.94871
"2","01_0189",4,1034.857267875,193.656336175,47.8929,295.322885,2,1162.9318014,NA,205.77581912,40.4846,307.8307375,-2,128.074533525,12.119482945,-7.40830000000001,12.5078525
"3","01_0362",2,5303.22507,876.607106,101.3806,1320.72655,1,3720.95955,NA,610.30789,62.499,926.67575,-1,-1582.26552,-266.299216,-38.8816,-394.0508
"4","01_0587",1,1588.585635,229.995643,50.5276,580.24967,3,3394.688148,NA,515.4328134,113.2871,1149.3414075,2,1806.102513,285.4371704,62.7595,569.0917375
"5","01_0633",4,284.290954875,53.182380775,39.1761,146.248245,4,396.680517225,NA,67.214531405,48.1148,199.142515,0,112.38956235,14.03215063,8.93869999999999,52.89427
"6","01_0688",5,98.567335125,11.364186225,46.1574,115.5743875,8,343.217446875,NA,50.179374375,84.0423,270.842715,3,244.65011175,38.81518815,37.8849,155.2683275
"7","05_0614",2,118.33094025,18.93818345,21.7507,77.1617275,2,174.84148575,NA,28.98059735,23.5587,94.8393875,0,56.5105455,10.0424139,1.808,17.67766
"8","05_0998",1,9.1872,3.17776,4.7365,9.152,2,54.838612125,NA,9.370532825,17.2916,47.4835075,1,45.651412125,6.192772825,12.5551,38.3315075
"9","09_0108",4,78.474772125,17.391970825,27.1747,67.0123025,4,87.41731725,NA,14.01323005,33.761,85.4156875,0,8.94254512499998,-3.378740775,6.5863,18.403385
"10","09_0730",5,471.458133,87.6639614,52.9875,221.858065,5,716.420864025,NA,130.000309845,60.4741,291.1948325,0,244.962731025,42.336348445,7.4866,69.3367675
"11","09_0831",3,59.190199875,13.865801775,19.6095,48.328995,4,148.519179,NA,32.1505882,29.77,91.782405,1,89.328979125,18.284786425,10.1605,43.45341
"12","09_1165",1,223.756344,36.8479152,16.6221,90.81072,3,362.378174625,NA,58.408915325,38.0096,173.6030725,2,138.621830625,21.561000125,21.3875,82.7923525
"13","09_1215",2,22.940692875,5.234306175,12.4304,25.2255575,3,50.6081088,NA,9.88153804,21.5711,50.1947875,1,27.667415925,4.647231865,9.1407,24.96923
"14","09_1286",2,15.160739625,4.592942325,10.4079,18.4587975,6,188.458397325,NA,36.928729985,46.5549,138.198775,4,173.2976577,32.33578766,36.147,119.7399775
"15","09_1364",11,252.326415375,62.401226675,68.8434,183.1218675,11,6574.4084745,NA,990.2806521,281.3228,2455.067615,0,6322.082059125,927.879425425,212.4794,2271.9457475
"16","09_1506",2,412.26131025,46.74272945,41.5965,257.4704275,5,465.8151564,NA,55.67978312,65.16,328.58111,3,53.55384615,8.93705366999999,23.5635,71.1106824999999
"17","09_2360",2,122.971161375,22.970953475,19.0218,67.6121875,2,148.1463405,NA,26.9142799,20.4626,77.4134075,0,25.175179125,3.943326425,1.4408,9.80122
"18","09_2400",1,487.37110725,51.34107205,36.8989,296.6967575,1,569.848608,NA,69.0276864,36.2763,297.34848,0,82.47750075,17.68661435,-0.622599999999991,0.651722500000062
"19","09_2412",1,969.0440625,129.2228125,43.3785,424.74575,1,1318.964544,NA,198.3350752,43.3476,451.65692,0,349.9204815,69.1122627,-0.0308999999999955,26.91117
"20","09_2423",3,464.8372155,72.8245849,45.9789,226.6903925,3,523.877112,NA,77.8223846,51.4527,263.1889975,0,59.0398964999999,4.9977997,5.4738,36.498605
"21","10_0721",1,244.042340625,37.555928125,18.9978,106.9672175,3,826.66523475,NA,136.18613155,53.3785,314.9442725,2,582.622894125,98.630203425,34.3807,207.977055
"22","10_2897",3,1617.214464,158.1688512,120.9748,1040.182,4,3230.583086475,NA,412.197008055,164.5164,1529.910525,1,1613.368622475,254.028156855,43.5416,489.728525
"23","13_0143",9,85.474629,27.1199782,45.4941,87.774115,5,279.68335875,NA,55.40743575,44.3307,155.318735,-4,194.20872975,28.28745755,-1.1634,67.54462
"24","13_1457",3,286.969010625,40.036689125,43.0713,180.313705,3,536.384525625,NA,80.778836125,50.2833,259.634375,0,249.415515,40.742147,7.212,79.32067
"25","13_1479",4,345.104998875,64.028560975,40.7207,168.8061375,3,537.616837125,NA,98.421392825,36.5959,202.321405,-1,192.51183825,34.39283185,-4.12480000000001,33.5152675
