idplot,Cla,Subclase,PosEsp,Especie,Ocupa,Estado,FPMasa,Edad,FInfor,Fiabil,Barrena1,Barrena2,Barrena3,AltPer,OrgMasa1,OrgMasa2,TratMasa,Prov_Estadillo
01_0004,A,3E,1,043,5,2,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0005,A,1,2,043,5,2,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0019,A,1,1,043,5,4,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0023,A,1,2,043,2,3,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0034,A,1,1,043,4,4,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0070,A,4,2,043,1,2,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0089,A,3C,1,043,5,3,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0100,A,1,2,043,3,3,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0116,A,1,3,043,1,4,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
01_0118,A,3C,2,043,3,3,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0152,A,1,1,043,6,3,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0165,A,3E,2,043,2,4,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0167,A,1,1,043,10,4,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
01_0168,A,1,1,043,8,4,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
01_0169,A,3C,1,043,6,4,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
01_0169,A,3E,1,043,9,4,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
01_0178,A,1,1,043,4,4,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0186,A,4,1,043,5,3,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0189,A,1,3,043,1,3,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0190,A,1,2,043,3,4,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0198,A,4,1,043,4,4,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0199,A,1,2,043,3,4,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
01_0201,A,1,2,043,1,4,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0210,A,1,2,043,2,3,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0214,A,1,2,043,3,4,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0224,A,4,2,043,3,3,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0279,A,1,2,043,3,4,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0283,A,1,2,043,1,3,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0284,A,1,2,043,1,3,3,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0290,A,1,2,043,5,4,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0362,A,1,3,043,1,4,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
01_0387,A,1,1,043,7,3,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0391,A,1,2,043,2,4,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0392,A,1,1,043,4,4,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
01_0393,A,1,2,043,3,4,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0394,A,1,2,043,4,4,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
01_0401,A,3C,2,043,2,3,3,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0583,A,1,1,043,6,4,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0586,A,1,1,043,10,3,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0587,A,3C,1,043,3,4,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0587,A,3E,3,043,3,2,4,NA,NA,NA,NA,NA,NA,NA,1,6,2,NA
01_0590,A,1,1,043,8,2,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0592,A,3E,1,043,3,3,3,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0593,A,1,1,043,10,3,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0595,A,1,1,043,10,3,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
01_0596,A,1,1,043,10,4,3,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0597,A,1,1,043,10,3,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0602,A,1,2,043,2,3,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0605,A,3E,1,043,9,3,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0606,A,1,1,043,7,4,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0607,A,1,1,043,10,3,3,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0608,A,1,1,043,10,4,3,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0609,A,1,1,043,9,4,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0611,A,1,1,043,9,2,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0612,A,1,1,043,5,4,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0616,A,1,2,043,1,3,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
01_0618,A,1,1,043,10,3,4,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA
